title,price,tikinow,freeship,reviews,product_id,link,rating_value,image url,badge under price,discount percentage,installment,free gifts,dis_percentage
Máy Đọc Sách Kindle Paperwhite Gen 10 - Hàng Nhập Khẩu,2999000,No,No,39,7400219184295,https://tiki.vn/may-doc-sach-kindle-paperwhite-gen-10-2019-hang-nhap-khau-p40639597.html?src=ss-organic,4.6,https://salt.tikicdn.com/cache/280x280/ts/product/92/2c/e2/7391c4aa1677fcf9fb71e4042d1187d8.jpg,No,,No,No,30
iPad Air 10.9 Wi-Fi 256GB New 2020 - Hàng Chính Hãng,18650000,Yes,No,55,4852946248819,https://tiki.vn/ipad-air-10-9-wi-fi-256gb-new-2020-hang-chinh-hang-p68174420.html?src=ss-organic,4.8,https://salt.tikicdn.com/cache/280x280/ts/product/e4/75/d1/964aa6876cdf55d3ce9ad8b315fca8e7.jpg,No,,Yes,No,15
Điện Thoại Realme C15 (4GB/64G) - Hàng Chính Hãng,3390000,Yes,No,24,4580080144529,https://tiki.vn/dien-thoai-realme-c15-4gb-64g-hang-chinh-hang-p73174156.html?src=ss-organic,4.6,https://salt.tikicdn.com/cache/280x280/ts/product/59/ec/01/dcdc5f21defb3e18d6cf43833cd0e92d.jpg,No,,Yes,No,19
Máy Tính Bảng Masstel Tab 10 4G - Hàng Chính Hãng,2450000,Yes,No,34,8345013909288,https://tiki.vn/may-tinh-bang-masstel-tab-10-4g-hang-chinh-hang-p76358835.html?src=ss-organic,4.6,https://salt.tikicdn.com/cache/280x280/ts/product/c1/bf/f5/49a279dea78b383333811138948672c2.jpg,Yes,,No,No,23
Điện thoại Vivo Y12s - Hàng Chính Hãng,3299000,Yes,No,22,6781434916559,https://tiki.vn/dien-thoai-vivo-y12s-hang-chinh-hang-p73320913.html?src=ss-organic,4.5,https://salt.tikicdn.com/cache/280x280/ts/product/b3/95/fc/70f6724a71608f645d6435ebf5e0039b.jpg,Yes,,No,No,23
"Điện thoại Forme A77 màn hình 5inch, Wifi, 3G, 2 sim  - Hàng chính hãng",729000,Yes,No,57,9139737398614,https://tiki.vn/dien-thoai-forme-a77-man-hinh-5inch-wifi-3g-2-sim-hang-chinh-hang-p71952008.html?src=ss-organic,3.6,https://salt.tikicdn.com/cache/280x280/ts/product/38/02/10/06a0021f0a164d92b67a17bd184e67d7.jpg,Yes,,No,No,26
Điện Thoại Nokia 2.4 (2GB/32GB) - Hàng Chính Hãng,2090000,Yes,No,95,9004579149635,https://tiki.vn/dien-thoai-nokia-2-4-hang-chinh-hang-p69271416.html?src=ss-organic,4.5,https://salt.tikicdn.com/cache/280x280/ts/product/c3/4c/c2/11c46f5ffe021c9eda1790e295a24fab.jpg,No,,No,No,22
Điện Thoại Samsung Galaxy Note 20 Ultra (8GB/256GB) - ĐÃ KÍCH HOẠT BẢO HÀNH ĐIỆN TỬ - Hàng Chính Hãng,20090000,No,Yes,5,5463004312770,https://tiki.vn/dien-thoai-samsung-galaxy-note-20-ultra-256gb-8gb-hang-chinh-hang-da-kich-hoat-bao-hanh-dien-tu-p62269749.html?src=ss-organic,4.6,https://salt.tikicdn.com/ts/upload/f3/74/46/f4c52053d220e94a047410420eaf9faf.png,No,,Yes,No,33
Điện thoại Xiaomi Redmi Note 9 (3GB/64GB) - Hàng Chính Hãng,3290000,Yes,No,179,4463341821585,https://tiki.vn/dien-thoai-xiaomi-redmi-note-9-3gb-64gb-hang-chinh-hang-p55584843.html?src=ss-organic,4.5,https://salt.tikicdn.com/cache/280x280/ts/product/c3/9d/ce/2f2cf3e1bf16b2a2a482641dca62fe73.png,Yes,,No,No,18
Điện Thoại iPhone 12 Pro Max 512GB - Hàng Chính Hãng,37990000,Yes,Yes,32,8958561338518,https://tiki.vn/dien-thoai-iphone-12-pro-max-512gb-hang-chinh-hang-p71197208.html?src=ss-organic,4.8,https://salt.tikicdn.com/ts/upload/f3/74/46/f4c52053d220e94a047410420eaf9faf.png,No,,Yes,No,14
